;410nm;435nm;460nm;485nm;510nm;535nm;560nm;585nm;610nm;645nm;680nm;705nm;730nm;760nm;810nm;860nm;900nm;940nm
PLA;0,82;4,81;31,61;22,14;6,19;4,18;13,58;21,03;84,54;19,09;19,23;5,83;6,21;4,04;5,08;3,2;1,65;0,85
PLA;4,93;16,34;49,27;31,88;45,67;103,89;100,14;131,41;407,35;83,41;122,48;26,42;34,95;22,61;21,18;12,78;7,13;6,82
PLA;3,29;40,36;288,2;192,17;64,25;58,57;38,61;45,69;185,56;30,4;42,51;9,95;12,43;8,07;10,17;5,33;3,29;3,41
PLA;1,64;25,95;283,55;0;25,55;6,28;3,39;3,23;38,43;7,42;5,06;1,72;2,33;1,61;2,54;1,07;1,1;1,7
PLA;2,46;26,91;268,68;193,06;34,06;19,52;13,15;16,98;82,35;15,55;16,2;4,12;5,44;4,04;5,08;3,2;1,65;2,56
PLA;1,64;24,03;270,54;188,63;24;5,58;2,55;2,43;35,14;6,72;4,05;1,37;2,33;1,61;2,54;1,07;1,1;1,7
PLA;2,46;31,71;295,64;0;38,71;21,61;13,15;14,96;75,76;14,49;16,2;4,12;5,44;4,04;4,24;2,13;1,65;2,56
PLA;3,29;36,52;258,45;170,92;59,61;52,99;36,07;44,07;167,99;32,16;41,5;9,95;13,2;8,88;10,17;6,39;3,29;3,41
PLA;0,82;15,38;151,54;0;17,8;9,06;6,36;7,68;39,53;8,13;13,16;4,12;7,77;4,84;4,24;3,2;1,1;1,7
PLA;1,64;3,84;14,87;9,74;3,87;2,09;4,67;23,86;213,01;28,27;61,75;10,64;17,09;11,3;12,71;8,52;2,74;1,7
PLA;3,29;11,53;38,12;25,68;13,93;20,22;44,13;105,53;370,02;76,34;126,53;25,74;34,17;22,61;20,33;12,78;6,04;5,96
PLA;1,64;3,84;19,52;0;3,87;2,09;4,67;31,54;170,19;34,64;46,56;10,98;14,76;9,69;10,17;6,39;2,74;1,7
PLA;0;2,88;32,54;0;2,32;0,7;0,42;0,81;26,35;4,24;1,01;0,34;0,78;0,81;1,69;0;0;0
PLA;0;1,92;23,24;0;2,32;0,7;0,42;0,81;26,35;4,59;1,01;0,34;0,78;0,81;1,69;0;0;0
PLA;0,82;2,88;27,89;20,37;3,87;1,39;1,27;4,85;69,17;24,74;19,23;8,58;7,77;4,84;4,24;2,13;1,65;1,7
PLA;2,46;9,61;29,75;0;6,97;6,28;2,55;10,92;266,81;63,26;108,31;23,34;31,84;19,38;15,25;10,65;4,39;3,41
PLA;0;0,96;9,3;7,08;1,55;0;0,42;0,4;19,76;6,72;7,09;2,06;3,11;2,42;2,54;1,07;0,55;0
PLA;2,46;7,69;26,03;0;5,42;4,88;2,12;8,9;253,63;58,32;94,14;19,9;27,18;16,95;13,55;9,59;3,84;3,41
PLA;2,46;8,65;24,17;0;6,19;4,88;1,7;8,49;251,44;54,43;88,06;17,5;24,08;15,34;12,71;8,52;3,29;2,56
PLA;0;1,92;22,31;0;2,32;0,7;0,42;0,4;24,16;7,42;6,07;1,72;2,33;1,61;1,69;1,07;0,55;0
PLA;0;1,92;24,17;0;2,32;0;0;0;2,2;0,71;0;0;0;0;0;0;0;0
PLA;0;0,96;9,3;0;0,77;0;0,42;0;1,1;0,71;0;0;0;0;0;0;0;0
PLA;0;0,96;10,23;8,86;0,77;0;0;0;2,2;0,71;0;0;0;0;0;0;0;0
PLA;0;7,69;73,45;35,42;4,64;0,7;0,42;0,4;3,29;1,06;0;0;0;0;0;0;0;0
PLA;1,64;25,95;209,18;0;17,8;2,79;2,12;1,62;17,57;3,89;1,01;0,69;0,78;0,81;0,85;0;0,55;0,85
PLA;0,82;20,18;160,84;0;11,61;1,39;0,85;0,81;8,78;2,12;0;0,34;0;0;0,85;0;0,55;0,85
PLA;0,82;24,99;210,11;0;13,16;2,09;0,85;0,81;10,98;2,47;0;0,34;0;0,81;0,85;0;0,55;0,85
PLA;0,82;23,07;177,57;94,76;17,8;6,97;5,09;5,66;19,76;4,59;3,04;1,03;0,78;0,81;0,85;0;0,55;0,85
PLA;0,82;19,22;134,8;0;17,8;11,85;7,64;10,11;34,04;7,78;8,1;2,4;3,11;1,61;1,69;1,07;1,1;0,85
PLA;0,82;27,87;221,27;0;12,39;1,39;1,27;0,81;13,18;3,18;0;0,34;0;0;0,85;0;0,55;0,85
PLA;1,64;28,83;224,98;0;12,39;1,39;1,27;3,23;14,27;6,36;4,05;0,34;0,78;0,81;0,85;1,07;0,55;0,85
PLA;2,46;52,86;330,04;0;22,45;6,97;5,09;7,68;45,02;17,67;66,81;17,5;22,52;12,11;6,78;4,26;2,2;2,56
PLA;0,82;18,26;139,45;0;9,29;1,39;0,42;0,4;1,1;0,71;1,01;0,69;0,78;1,61;0,85;1,07;0,55;0,85
PLA;0,82;24,99;227,77;0;13,16;1,39;0,85;0,81;2,2;1,41;0;0,34;0,78;0,81;0,85;0;0,55;0,85
PLA;8,21;138,39;414,64;192,17;179,59;172,92;86,56;106,75;305,24;80,23;218,64;42,55;63,69;36,33;18,64;10,65;9,33;10,22
PLA;0,82;30,75;161,77;0;27,87;13,25;2,97;1,62;3,29;2,12;14,17;4,12;6,21;4,84;2,54;1,07;1,1;0,85
PLA;0,82;27,87;256,59;0;13,93;1,39;0,85;0,81;4,39;1,41;0;0,34;0,78;0,81;0,85;0;0,55;0,85
PLA;0,82;27,87;261,24;0;13,93;1,39;0,85;0,81;3,29;1,41;0;0,34;0,78;0,81;0,85;0;0,55;0,85
PLA;0,82;15,38;111,56;0;5,42;0,7;0,42;0,4;1,1;1,41;0;0,34;0;0,81;1,69;1,07;0,55;0,85
PLA;0,82;6,73;57,64;0;10,84;3,49;1,27;0,81;7,69;1,41;1,01;2,75;10,1;6,46;3,39;2,13;0,55;0,85
PLA;0,82;2,88;33,47;0;18,58;10,46;3,39;1,62;4,39;1,06;28,34;15,79;24,85;14,53;5,93;3,2;1,1;0,85
PLA;0,82;10,57;102,27;37,19;18,58;10,46;2,55;1,62;3,29;1,06;25,31;13,73;23,3;13,72;5,93;3,2;1,1;0,85
PLA;2,46;10,57;57,64;0;245,39;218,94;92,08;57,82;83,45;13,43;25,31;8,24;9,32;6,46;5,93;3,2;3,84;3,41
PLA;0;2,88;42,77;61,99;10,84;2,09;0,85;0,4;6,59;1,41;0;0;0,78;0,81;1,69;1,07;0,55;0
PLA;1,64;7,69;43,7;33,65;41,03;101,8;72,14;62,27;17,57;1,41;2,02;1,37;1,55;3,23;4,24;2,13;2,2;1,7
PLA;2,46;10,57;57,64;0;253,13;221,73;87,84;53,78;75,76;11,66;22,27;7,21;8,54;5,65;5,93;3,2;3,29;2,56
PLA;1,64;6,73;37,19;0;39,48;98,31;74,26;63,08;17,57;1,77;2,02;1,72;1,55;2,42;3,39;2,13;2,2;1,7
PLA;0;6,73;56,71;0;7,74;2,09;0,42;0,4;1,1;0,71;0;0;0;0;0;0;0;0
PLA;0,82;4,81;56,71;54,02;13,93;7,67;2,12;1,62;9,88;1,77;0;0,34;1,55;2,42;2,54;1,07;0,55;0
PLA;0;4,81;58,57;35,42;5,42;0,7;0,42;0,4;14,27;1,77;0;0;0;0;0,85;0;0;0
PLA;0;3,84;41,84;0;3,1;0,7;0,42;0;6,59;1,41;0;0;0;0;0;0;0;0
PLA;0,82;4,81;45,55;0;6,97;1,39;0,85;0,81;59,29;4,59;1,01;0,34;0,78;0,81;2,54;1,07;0;0
PLA;4,11;53,82;341,19;491,5;37,93;2,79;2,12;2,02;5,49;3,89;3,04;3,77;4,66;3,23;1,69;1,07;1,65;2,56
PLA;0,82;19,22;159,91;0;13,16;2,09;0,85;0,81;5,49;1,41;0;0,34;0;0;0;0;0,55;0,85
PLA;1,64;30,75;265,89;0;24;8,37;10,18;8,09;40,63;5,65;8,1;2,06;3,11;2,42;2,54;1,07;1,1;1,7
PLA;0;8,65;66,01;0;3,87;0,7;0,42;0,4;3,29;1,06;0;0;0;0;0;0;0;0
PLA;0,82;17,3;138,52;0;6,97;0,7;0,42;0,4;2,2;1,06;0;0;0;0;0;0;0,55;0,85
PP;1,64;9,61;45,55;19,48;4,64;2,09;0,85;6,47;148,23;33,93;53,65;9,95;17,09;8,07;6,78;4,26;1,65;1,7
PP;3,29;76,88;555,02;0;43,35;9,06;3,39;2,83;39,53;5,3;1,01;1,03;0,78;1,61;2,54;1,07;1,65;2,56
PP;2,46;23,07;160,84;0;31,74;32,07;29,7;40,43;157,01;29,34;36,44;8,92;12,43;7,27;7,62;4,26;2,74;2,56
PP;1,64;11,53;70,66;34,54;6,97;2,79;1,7;8,9;217,4;44,18;65,79;14,07;18,64;10,5;10,17;6,39;2,2;2,56
PP;0,82;6,73;43,7;20,37;4,64;2,09;2,55;6,47;56;12,72;17,21;4,8;6,21;4,04;3,39;2,13;1,1;0,85
PP;0,82;6,73;52,99;0;4,64;1,39;1,27;4,85;47,21;10,96;15,18;4,12;5,44;3,23;2,54;2,13;0,55;0,85
PP;1,64;12,49;66,94;63,76;78,96;79,49;27,16;16,98;14,27;3,53;5,06;1,72;2,33;2,42;2,54;2,13;1,1;0,85
PP;3,29;47,09;226,84;0;17,8;8,37;6,79;31,54;329,4;53,02;83;16,47;22,52;12,92;14,4;8,52;3,84;3,41
PP;0,82;6,73;54,85;25,68;3,87;1,39;0,85;1,62;13,18;3,18;3,04;0,69;1,55;0,81;0,85;0;0;0
PP;3,29;12,49;76,23;0;55,74;82,97;59,41;73,19;271,2;47,71;63,77;13,38;17,86;11,3;13,55;7,46;3,84;3,41
PP;3,29;12,49;63,22;0;46,45;92,04;69,17;83,7;310,73;52,31;72,88;15,44;20,97;12,92;15,25;8,52;4,39;4,26
PP;1,64;23,07;171,06;0;89,8;71,82;29,28;15,36;14,27;3,18;4,05;2,06;2,33;1,61;1,69;1,07;1,65;1,7
PP;0;6,73;49,27;0;3,87;0,7;0,42;0,4;7,69;1,77;1,01;0,34;0,78;0;0,85;0;0;0
PP;4,11;21,14;89,25;0;106,05;145,73;92,93;112;407,35;62,2;88,06;18,87;27,18;15,34;17,79;9,59;5,49;5,11
PP;0,82;5,77;40,91;0;3,87;2,09;1,7;5,66;58,19;11,66;18,22;4,46;6,99;4,04;3,39;2,13;0,55;0,85
PP;6,57;84,57;318,88;147,01;115,34;117,14;72,98;96,64;342,57;62,2;61,75;14,07;27,18;12,92;14,4;7,46;4,94;5,96
PP;3,29;48,05;229,63;92,1;18,58;9,06;4,67;24,66;294,26;48,42;78,95;14,41;20,97;12,11;13,55;7,46;3,29;3,41
PP;1,64;48,05;374,66;0;26,32;4,88;1,7;1,21;3,29;1,77;0;0,34;0;0,81;1,69;1,07;1,1;1,7
PP;4,93;54,78;178,5;0;74,31;82,97;64,92;67,52;284,38;47,71;74,9;12,01;24,08;11,3;16,1;11,72;3,29;4,26
PP;4,11;19,22;81,81;0;95,99;130,39;67,04;86,53;366,73;57,26;79,96;13,73;27,18;15,34;16,94;9,59;4,39;4,26
PP;1,64;22,1;170,13;0;84,38;65,54;24,19;12,53;13,18;2,83;3,04;1,72;1,55;1,61;1,69;1,07;1,65;1,7
PP;3,29;87,46;555,95;273,65;65,8;27,19;6,79;3,23;7,69;2,83;1,01;1,03;0,78;3,23;3,39;2,13;1,65;2,56
PP;0,82;6,73;53,92;26,57;3,87;1,39;0,85;2,02;13,18;3,18;2,02;0,69;0,78;0,81;0,85;0;0;0
PP;3,29;76,88;445,32;204,57;34,06;9,76;4,67;6,07;50,51;11,31;28,34;7,21;13,2;7,27;5,08;3,2;2,2;2,56
PP;3,29;77,85;418,36;0;34,06;11,16;4,24;6,47;42,82;12,72;24,29;8,58;13,2;6,46;4,24;3,2;1,65;2,56
PP;3,29;77,85;446,25;0;35,61;11,16;4,67;6,07;53,8;11,31;31,38;7,21;13,2;7,27;5,08;3,2;2,2;2,56
PP;1,64;9,61;52,99;26,57;6,19;2,09;1,27;6,47;220,7;44,53;68,83;14,07;20,97;10,5;10,17;6,39;2,2;2,56
PP;1,64;23,07;182,22;0;82,83;64,84;26,31;13,34;13,18;2,83;3,04;2,06;1,55;1,61;1,69;1,07;1,65;1,7
PP;3,29;67,27;524,34;250,62;30,19;4,88;1,27;6,07;197,64;42,77;64,78;13,73;19,42;9,69;9,32;5,33;2,2;2,56
PP;1,64;22,1;174,78;0;79,73;60,66;22,49;10,51;10,98;2,47;2,02;1,37;1,55;1,61;1,69;1,07;1,65;1,7
PP;5,75;105,72;688,9;0;78,96;55,08;33,1;40,43;202,03;30,75;42,51;8,58;12,43;8,07;10,17;5,33;3,84;5,11
PP;5,75;114,37;746,54;0;78,96;50,2;35,22;41,65;171,29;31,46;32,39;8,24;10,1;6,46;8,47;4,26;3,84;5,11
PP;4,11;49,98;231,49;92,99;19,35;11,16;5,09;27,09;310,73;50,89;77,94;15,44;21,75;12,11;13,55;7,46;3,29;3,41
PP;1,64;8,65;51,13;24,8;5,42;2,09;1,27;3,64;164,7;36,76;62,76;13,04;17,86;9,69;8,47;5,33;2,2;1,7
PP;4,11;83,61;460,19;209;39,48;13,95;5,94;8,49;65,88;13,43;34,42;7,89;14,76;8,07;5,08;3,2;2,2;3,41
PP;1,64;31,71;249,16;0;23,22;5,58;2,12;1,21;10,98;2,83;1,01;0,34;0;0,81;0,85;0;0,55;0,85
PP;2,46;18,26;124,58;75,27;32,51;39,05;34,37;50,54;197,64;37,82;41,5;9,27;15,53;8,07;9,32;5,33;2,74;2,56
PP;7,39;98,03;302,15;0;144,76;145,03;78,5;107,55;415,04;73,87;73,89;14,76;31,07;16,15;16,94;9,59;5,49;6,82
PP;5,75;78,81;282,62;0;115,34;120,63;65,35;85,72;378,81;57,26;70,85;12,7;29,51;13,72;15,25;8,52;4,39;5,11
PP;1,64;9,61;69,73;47,82;47,99;72,51;44,13;35,99;52,7;10,25;15,18;5,49;6,99;4,84;4,24;3,2;2,2;1,7
PP;5,75;103,79;677,74;0;76,64;52,99;33,52;40,43;196,54;30,04;40,49;8,58;11,65;8,07;10,17;5,33;3,84;5,11
PP;2,46;10,57;63,22;26,57;6,19;2,79;2,55;27,9;251,44;55,49;68,83;15,79;20,19;11,3;12,71;7,46;3,29;2,56
PP;1,64;11,53;68,8;0;6,97;2,79;1,7;7,28;206,42;39,23;62,76;13,38;17,86;9,69;9,32;6,39;2,2;2,56
PP;4,11;89,38;462,05;230,25;95,21;65,54;22,07;13,75;35,14;6,01;9,11;2,4;3,11;4,84;5,08;3,2;2,2;2,56
PP;3,29;84,57;544,8;268,33;62,7;25,8;5,52;2,83;6,59;2,83;1,01;1,03;0,78;3,23;3,39;2,13;1,65;2,56
PP;5,75;103,79;678,67;348,92;78,18;52,99;33,95;40,84;192,15;30,4;39,48;8,58;11,65;7,27;9,32;5,33;3,84;5,11
PP;2,46;22,1;153,4;91,22;34,83;41,84;36,07;50,95;211,91;34,99;48,59;10,64;15,53;8,88;10,17;6,39;2,74;2,56
PP;1,64;9,61;57,64;31;6,97;3,49;12,31;51,76;269,01;43,47;65,79;13,38;20,19;12,11;13,55;7,46;2,74;2,56
PP;3,29;88,42;551,3;0;69,67;31,38;8,06;3,64;8,78;3,18;2,02;1,03;0,78;3,23;3,39;2,13;2,2;2,56
PP;1,64;21,14;167,34;0;74,31;55,08;19,94;9,3;10,98;2,47;3,04;1,37;1,55;1,61;1,69;2,13;1,65;1,7
HDPE;2,46;54,78;402,55;220,51;27,09;4,18;2,55;2,43;43,92;5,3;4,05;0,69;0,78;1,61;2,54;1,07;1,1;2,56
HDPE;0,82;21,14;114,35;50,48;7,74;1,39;0,85;1,21;5,49;4,24;2,02;1,03;2,33;2,42;1,69;1,07;0,55;0,85
HDPE;0,82;6,73;52,99;32,77;20,9;13,25;1,27;0,4;3,29;1,06;1,01;0,34;1,55;1,61;1,69;1,07;0,55;0
HDPE;0,82;7,69;63,22;35,42;8,52;13,25;8,06;4,85;8,78;1,77;2,02;0,34;0,78;0,81;0,85;1,07;0,55;0
HDPE;0,82;11,53;99,48;69,08;23,22;11,85;2,55;0,81;4,39;1,06;0;0,34;0;0;0;1,07;0,55;0,85
HDPE;2,46;52,86;411,85;240,88;32,51;9,76;3,82;2,02;9,88;3,18;0;0,69;3,11;2,42;1,69;1,07;1,65;2,56
HDPE;3,29;80,73;420,22;0;79,73;50,9;11,88;7,68;20,86;4,59;6,07;1,37;2,33;4,04;3,39;2,13;1,65;2,56
HDPE;2,46;73,04;427,66;0;61,15;29,98;5,09;2,43;5,49;2,47;1,01;0,69;0,78;2,42;2,54;1,07;1,65;2,56
HDPE;3,29;76,88;432,3;0;68,12;40,44;8,06;5,26;13,18;3,53;3,04;1,03;1,55;3,23;3,39;2,13;1,65;2,56
HDPE;4,11;95,14;629,4;318,81;65,8;29,98;7,21;4,45;26,35;7,07;4,05;2,75;5,44;4,04;3,39;2,13;2,2;3,41
HDPE;3,29;87,46;455,55;0;85,15;52,29;11,03;6,87;15,37;4,24;4,05;1,37;1,55;4,04;3,39;2,13;1,65;2,56
HDPE;3,29;85,53;444,39;0;89,02;57,18;17,4;9,7;20,86;4,95;6,07;1,72;2,33;4,84;4,24;2,13;2,2;2,56
HDPE;5,75;90,34;385,82;202,8;123,86;117,84;54,74;59,03;426,02;33,93;85,03;14,76;37,28;16,95;17,79;9,59;4,39;5,11
HDPE;3,29;83,61;408,13;0;89,02;54,39;16,55;8,9;14,27;4,59;4,05;1,37;2,33;4,84;4,24;2,13;1,65;2,56
HDPE;3,29;83,61;435,09;0;82,83;51,6;11,03;6,87;17,57;4,24;4,05;1,37;2,33;4,04;3,39;2,13;1,65;2,56
HDPE;0;4,81;41,84;19,48;3,1;0;0;0;1,1;0,71;0;0;0;0;0;0;0;0
HDPE;1,64;31,71;219,41;0;18,58;4,18;5,52;9,3;70,27;12,37;10,12;3,09;4,66;3,23;4,24;2,13;1,1;1,7
HDPE;2,46;48,05;371,87;188,63;24,77;4,88;2,97;3,23;53,8;8,84;5,06;1,37;2,33;1,61;2,54;1,07;1,1;1,7
HDPE;2,46;11,53;63,22;0;7,74;2,79;4,67;28,3;258,03;36,76;68,83;12,01;21,75;12,11;11,86;7,46;2,74;2,56
HDPE;1,64;9,61;61,36;0;6,19;2,09;5,52;31,54;191,05;33,22;47,57;10,3;14,76;8,88;9,32;5,33;2,2;1,7
HDPE;2,46;27,87;172,92;0;15,48;10,46;20,37;40,03;162,5;30,04;44,54;9,61;12,43;8,07;9,32;6,39;2,2;2,56
HDPE;1,64;9,61;61,36;31;6,97;2,09;4,67;27,09;183,36;30,75;49,6;9,95;14,76;8,88;10,17;5,33;2,2;1,7
HDPE;1,64;8,65;58,57;0;6,19;2,09;3,39;20,62;186,66;25,45;47,57;7,89;13,98;8,88;9,32;5,33;1,65;1,7
HDPE;1,64;9,61;60,43;0;6,19;4,18;7,64;27,09;240,46;28,27;51,62;9,95;15,53;9,69;11,01;6,39;2,2;1,7
HDPE;0,82;18,26;97,62;0;4,64;0,7;1,27;1,62;19,76;4,24;11,13;2,06;3,88;2,42;2,54;2,13;0,55;0,85
HDPE;1,64;24,99;119;0;7,74;1,39;1,27;2,02;25,25;10,6;6,07;4,46;7,77;3,23;2,54;1,07;1,1;0,85
HDPE;0,82;14,42;81,81;35,42;3,87;0,7;0,85;1,21;31,84;4,24;21,26;2,75;5,44;4,04;3,39;3,2;0,55;0,85
HDPE;1,64;8,65;46,48;0;4,64;2,09;3,39;6,87;97,72;77,76;26,32;12,01;11,65;6,46;6,78;4,26;2,74;4,26
HDPE;2,46;13,45;48,34;0;10,06;6,97;2,97;15,36;301,95;65,39;80,98;17,16;25,63;12,92;12,71;8,52;3,29;3,41
HDPE;1,64;9,61;58,57;30,11;6,97;2,09;1,27;6,07;187,76;41;59,72;13,38;17,09;9,69;8,47;5,33;2,2;1,7
HDPE;3,29;21,14;70,66;0;14,71;7,67;3,82;17,79;339,28;74,22;85,03;18,53;29,51;13,72;14,4;8,52;3,84;3,41
HDPE;3,29;21,14;64,15;0;26,32;24,4;11,46;38,41;391,98;76,7;88,06;17,5;31,84;14,53;16,94;9,59;3,84;4,26
HDPE;4,93;72,08;379,31;0;67,35;57,18;34,37;42,86;131,76;31,46;34,42;9,27;11,65;7,27;7,62;5,33;3,29;4,26
HDPE;5,75;106,68;688,9;332,09;78,96;55,08;39,46;46,9;180,07;32,87;31,38;9,27;10,87;6,46;8,47;4,26;3,84;5,11
HDPE;8,21;110,52;438,81;0;159,47;168,04;74,26;91,38;475,43;55,49;84,01;16,13;35,73;17,76;19,48;9,59;5,49;5,96
HDPE;5,75;86,5;484,37;0;65,8;41,84;89,96;107,96;139,44;70,69;43,53;13,73;9,32;8,07;9,32;6,39;4,39;5,96
HDPE;5,75;102,83;655,43;0;82,83;59,96;36,92;43,26;196,54;32,16;42,51;9,27;12,43;8,07;9,32;5,33;3,84;5,11
HDPE;2,46;33,64;185,01;0;13,16;4,18;2,12;7,68;232,77;33,93;72,88;13,04;19,42;11,3;11,01;7,46;2,74;2,56
HDPE;1,64;30,75;190,59;0;10,06;2,09;1,27;1,62;139,44;20,85;55,67;8,24;15,53;8,88;7,62;5,33;1,65;1,7
HDPE;1,64;29,79;185,94;0;13,93;2,09;1,27;1,21;34,04;5,3;22,27;5,15;12,43;6,46;4,24;2,13;1,1;1,7
HDPE;0;5,77;45,55;21,25;3,1;0,7;0,42;0;2,2;1,06;0;0;0;0;0;0;0;0
HDPE;0;5,77;46,48;0;3,1;0,7;0;0;2,2;0,71;0;0;0;0;0;0;0;0
HDPE;0,82;20,18;124,58;0;10,84;1,39;0,42;0,4;10,98;1,77;0;0;0;0;0,85;0;0,55;0,85
HDPE;0;4,81;39,05;18,6;3,1;0;0,42;0;2,2;0,71;0;0;0;0;0;0;0;0
HDPE;3,29;13,45;66,01;0;48,77;51,6;32,25;41,65;169,09;54,08;69,84;8,24;13,2;8,07;14,4;5,33;4,39;2,56
HDPE;3,29;15,38;92,97;0;32,51;79,49;48,37;57,82;330,49;37,46;65,79;13,38;22,52;12,92;14,4;7,46;3,29;3,41
HDPE;3,29;13,45;78,09;0;48,77;97,62;72,56;86,12;331,59;52,31;76,93;16,47;21,75;12,92;15,25;8,52;4,39;4,26
HDPE;0,82;11,53;102,27;0;21,67;11,85;2,12;0,81;4,39;1,06;0;0,34;0;0;0;1,07;0,55;0,85
HDPE;0,82;9,61;71,59;73,5;65,02;54,39;17,4;7,28;5,49;1,41;1,01;1,03;1,55;1,61;1,69;1,07;1,1;0,85
